,DateTime,Close,EMA_20
0,2021-05-12 07:00:00,10.618,
1,2021-05-12 08:00:00,10.558,
2,2021-05-12 09:00:00,10.496,
3,2021-05-12 10:00:00,10.52,
4,2021-05-12 11:00:00,10.49,
5,2021-05-12 12:00:00,10.7,
6,2021-05-12 13:00:00,10.736,
7,2021-05-12 14:00:00,10.814,
8,2021-05-12 15:00:00,10.802,
9,2021-05-13 07:00:00,10.492,
10,2021-05-13 08:00:00,10.39,
11,2021-05-13 09:00:00,10.376,
12,2021-05-13 10:00:00,10.406,
13,2021-05-13 11:00:00,10.444,
14,2021-05-13 12:00:00,10.46,
15,2021-05-13 13:00:00,10.586,
16,2021-05-13 14:00:00,10.6,
17,2021-05-13 15:00:00,10.606,
18,2021-05-14 07:00:00,10.72,
19,2021-05-14 08:00:00,10.738,10.586691197843617
20,2021-05-14 09:00:00,10.758,10.605278466692484
21,2021-05-14 10:00:00,10.816,10.627842796820548
22,2021-05-14 11:00:00,10.85,10.651353234735293
23,2021-05-14 12:00:00,10.83,10.670060941280033
24,2021-05-14 13:00:00,10.882,10.692046539879259
25,2021-05-14 14:00:00,10.838,10.707059520194942
26,2021-05-14 15:00:00,10.86,10.722672174930393
27,2021-05-17 07:00:00,10.86,10.736595731485087
28,2021-05-17 08:00:00,10.91,10.754069566152573
29,2021-05-17 09:00:00,10.892,10.76789226888379
30,2021-05-17 10:00:00,10.846,10.775681073214074
31,2021-05-17 11:00:00,10.846,10.782661909182305
32,2021-05-17 12:00:00,10.874,10.791692952329274
33,2021-05-17 13:00:00,10.886,10.800983762027517
34,2021-05-17 14:00:00,10.944,10.815027194086255
35,2021-05-17 15:00:00,10.922,10.825500388521954
36,2021-05-18 07:00:00,11.016,10.844101680258229
37,2021-05-18 08:00:00,11.062,10.865327229599334
38,2021-05-18 09:00:00,11.038,10.882110884615766
39,2021-05-18 10:00:00,11.064,10.899755757553447
