,DateTime,Close,EMA_20
0,2021-11-24 08:00:00,13.178,
1,2021-11-24 09:00:00,13.134,
2,2021-11-24 10:00:00,13.096,
3,2021-11-24 11:00:00,13.134,
4,2021-11-24 12:00:00,13.126,
5,2021-11-24 13:00:00,13.068,
6,2021-11-24 14:00:00,13.064,
7,2021-11-24 15:00:00,13.05,
8,2021-11-24 16:00:00,13.01,
9,2021-11-25 08:00:00,13.02,
10,2021-11-25 09:00:00,13.056,
11,2021-11-25 10:00:00,13.098,
12,2021-11-25 11:00:00,13.104,
13,2021-11-25 12:00:00,13.014,
14,2021-11-25 13:00:00,13.018,
15,2021-11-25 14:00:00,13.028,
16,2021-11-25 15:00:00,13.036,
17,2021-11-25 16:00:00,13.046,
18,2021-11-26 08:00:00,12.4,
19,2021-11-26 09:00:00,12.382,12.916354750509512
20,2021-11-26 10:00:00,12.386,12.858810443334946
21,2021-11-26 11:00:00,12.408,12.810537086982022
22,2021-11-26 12:00:00,12.39,12.766032515746705
23,2021-11-26 13:00:00,12.376,12.725188709609577
24,2021-11-26 14:00:00,12.214,12.672160306795059
25,2021-11-26 15:00:00,12.126,12.615981481515144
26,2021-11-26 16:00:00,12.096,12.562900104040247
27,2021-11-29 08:00:00,12.26,12.532189308708789
28,2021-11-29 09:00:00,12.254,12.504156354109279
29,2021-11-29 10:00:00,12.308,12.48449853896247
30,2021-11-29 11:00:00,12.33,12.469092139722646
31,2021-11-29 12:00:00,12.35,12.45726939539891
32,2021-11-29 13:00:00,12.376,12.449233893344893
33,2021-11-29 14:00:00,12.29,12.433546711558192
34,2021-11-29 15:00:00,12.19,12.409631722984976
35,2021-11-29 16:00:00,12.158,12.38499566769503
36,2021-11-30 08:00:00,12.118,12.35892493574664
37,2021-11-30 09:00:00,12.072,12.330975480293741
38,2021-11-30 10:00:00,12.132,12.311635222937413
39,2021-11-30 11:00:00,12.174,12.298283373843256
