index,DateTime,Open,Close,High,Low
264,20210504  23:15:00,0.865225,0.865,0.865225,0.864975
265,20210505  00:00:00,0.865,0.86491,0.86514,0.86485
266,20210505  01:00:00,0.86491,0.86513,0.86513,0.864865
267,20210505  02:00:00,0.86513,0.86483,0.86513,0.864735
268,20210505  03:00:00,0.86483,0.864305,0.86497,0.864285
269,20210505  04:00:00,0.864305,0.864355,0.86459,0.864175
270,20210505  05:00:00,0.864355,0.86434,0.864435,0.864235
271,20210505  06:00:00,0.86434,0.86435,0.86447,0.86424
272,20210505  07:00:00,0.86435,0.864045,0.864655,0.864025
273,20210505  08:00:00,0.864045,0.86284,0.86443,0.862735
274,20210505  09:00:00,0.86284,0.86313,0.863685,0.8625
275,20210505  10:00:00,0.86313,0.86347,0.863485,0.862765
276,20210505  11:00:00,0.86347,0.86391,0.864325,0.863335
277,20210505  12:00:00,0.86391,0.863725,0.864265,0.86263
278,20210505  13:00:00,0.863725,0.863585,0.863795,0.8632
279,20210505  14:00:00,0.863585,0.862695,0.863675,0.862535
280,20210505  15:00:00,0.862695,0.863185,0.863745,0.862695
281,20210505  16:00:00,0.863185,0.863,0.863675,0.86263
282,20210505  17:00:00,0.863,0.862685,0.86344,0.862375
283,20210505  18:00:00,0.862685,0.862715,0.863035,0.862375
284,20210505  19:00:00,0.862715,0.86269,0.86302,0.862485
285,20210505  20:00:00,0.86269,0.862815,0.862895,0.86248
286,20210505  21:00:00,0.862815,0.862925,0.863275,0.862655
287,20210505  22:00:00,0.862925,0.86323,0.863385,0.86291
288,20210505  23:15:00,0.863265,0.86338,0.86341,0.86318
289,20210506  00:00:00,0.86338,0.863375,0.863425,0.863185
290,20210506  01:00:00,0.863375,0.8633,0.863465,0.86327
291,20210506  02:00:00,0.8633,0.863355,0.86336,0.862925
292,20210506  03:00:00,0.863355,0.86342,0.86342,0.863135
293,20210506  04:00:00,0.86342,0.863595,0.86395,0.863345
294,20210506  05:00:00,0.863595,0.86353,0.863685,0.86346
295,20210506  06:00:00,0.86353,0.86361,0.863735,0.86348
296,20210506  07:00:00,0.86361,0.86345,0.863665,0.863335
