,DateTime,Open,Close,High,Low,RSI_14
0,1970-08-22 22:00:19,504.4865,10.508,504.4865,10.381,
1,1970-08-22 22:00:20,629.73,10.143,629.73,10.129,
2,1970-08-22 22:00:21,10.268,10.155,10.366,9.9505,
3,1970-08-22 22:00:22,10.25,10.099,10.289,9.946,
4,1970-08-22 22:00:23,10.302,10.203,10.302,9.9345,
5,1970-08-22 22:00:26,504.337,10.511,504.337,10.138,
6,1970-08-22 22:00:27,10.564,10.579,11.225,10.346,
7,1970-08-22 22:00:28,10.578,10.641,10.778,10.378,
8,1970-08-22 22:00:29,11.4835,10.751,11.4835,10.657,
9,1970-08-22 22:00:30,10.5905,10.632,10.765,10.393,
10,1970-08-22 22:01:43,10.63,10.685,11.1755,10.592,
11,1970-08-22 22:01:44,10.737,10.569,11.481,10.502,
12,1970-08-22 22:01:45,10.406,10.871,10.89,10.406,
13,1970-08-22 22:01:46,10.619,10.795,10.967,10.504,0.9985065729771275
14,1970-08-22 22:01:47,10.7955,10.815,10.965,10.533,0.9985065729771274
15,1970-08-22 22:01:50,10.814,11.013,11.542,10.801,0.9985128871195431
16,1970-08-22 22:01:51,10.5,10.755,10.976,10.5,0.9959782324155122
17,1970-08-22 22:01:52,10.265,10.803,11.33,10.265,0.9959920385892411
18,1970-08-22 22:01:53,10.735,10.607,10.868,9.992,0.9929588813761094
19,1970-08-22 22:01:54,10.895,10.861,11.007,10.661,0.9929714562739381
20,1970-08-22 22:01:57,17.605,10.923,17.605,10.127,0.9935977011220778
21,1970-08-22 22:01:58,10.977,11.048,11.085,10.953,0.9935977011220777
