,DateTime,Close,20SMA
0,2021-11-24 08:00:00,13.178,
1,2021-11-24 09:00:00,13.134,
2,2021-11-24 10:00:00,13.096,
3,2021-11-24 11:00:00,13.134,
4,2021-11-24 12:00:00,13.126,
5,2021-11-24 13:00:00,13.068,
6,2021-11-24 14:00:00,13.064,
7,2021-11-24 15:00:00,13.05,
8,2021-11-24 16:00:00,13.01,
9,2021-11-25 08:00:00,13.02,
10,2021-11-25 09:00:00,13.056,
11,2021-11-25 10:00:00,13.098,
12,2021-11-25 11:00:00,13.104,
13,2021-11-25 12:00:00,13.014,
14,2021-11-25 13:00:00,13.018,
15,2021-11-25 14:00:00,13.028,
16,2021-11-25 15:00:00,13.036,
17,2021-11-25 16:00:00,13.046,
18,2021-11-26 08:00:00,12.4,
19,2021-11-26 09:00:00,12.382,13.0031
20,2021-11-26 10:00:00,12.386,12.9635
21,2021-11-26 11:00:00,12.408,12.9272
22,2021-11-26 12:00:00,12.39,12.891899999999998
23,2021-11-26 13:00:00,12.376,12.854
24,2021-11-26 14:00:00,12.214,12.8084
25,2021-11-26 15:00:00,12.126,12.7613
26,2021-11-26 16:00:00,12.096,12.7129
27,2021-11-29 08:00:00,12.26,12.6734
28,2021-11-29 09:00:00,12.254,12.6356
29,2021-11-29 10:00:00,12.308,12.6
30,2021-11-29 11:00:00,12.33,12.5637
31,2021-11-29 12:00:00,12.35,12.5263
32,2021-11-29 13:00:00,12.376,12.4899
33,2021-11-29 14:00:00,12.29,12.453700000000001
34,2021-11-29 15:00:00,12.19,12.4123
35,2021-11-29 16:00:00,12.158,12.368799999999998
36,2021-11-30 08:00:00,12.118,12.3229
37,2021-11-30 09:00:00,12.072,12.274199999999999
38,2021-11-30 10:00:00,12.132,12.2608
39,2021-11-30 11:00:00,12.188,12.2511
